#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2068-03-15,147.436310,61.968769,111.729324,30.215700,104.038879
2068-04-15,59.555389,113.988754,77.006348,125.002548,90.020744
2068-05-15,146.650040,29.705118,27.050732,119.901573,115.837784
2068-06-15,81.731941,116.209114,44.307846,88.240662,65.356071
2068-07-15,323.450836,87.489571,151.661438,90.804794,79.978851
2068-08-15,47.179554,97.996361,95.078651,104.940819,192.317734
2068-09-15,7.082068,123.539070,1.981502,74.210136,91.670013
2068-10-15,66.797928,58.374809,8.129439,122.613129,20.231895
2068-11-15,43.805798,108.495232,96.564148,71.247398,68.113693
2068-12-15,145.585541,88.279510,64.702019,127.459564,145.528259
2069-01-15,26.077644,85.470917,146.477646,176.836380,197.441681
2069-02-15,138.715729,62.337433,141.187408,60.146667,144.987564
2069-03-15,194.403473,216.200150,87.401054,191.997925,153.622833
2069-04-15,119.604736,157.308578,106.879753,179.628510,87.240379
2069-05-15,148.127075,121.016937,28.817724,39.551289,63.093224
2069-06-15,39.762192,109.578522,2.269619,62.102615,155.102676
2069-07-15,19.047485,89.611275,251.066727,43.805759,137.648987
2069-08-15,110.471954,38.965061,161.999207,171.636337,49.372864
2069-09-15,23.873875,134.184753,38.805355,138.680908,429.399994
2069-10-15,198.968552,128.694244,43.028461,106.745651,115.408035
2069-11-15,244.145096,101.316986,142.548569,61.948967,93.579391
2069-12-15,106.752907,80.148369,273.623779,119.116127,155.883850
2070-01-15,65.489601,78.063904,86.707138,227.663956,65.471313
2070-02-15,119.915695,63.422600,65.378456,83.220360,96.228432
