#Variables:
#tasmax_bcc-csm1-1_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)
1967-07-15,303.847229,293.293793,303.197296,293.066437,301.687469,292.487457,302.833679,292.137085,303.751953,293.758881
1967-08-15,301.335571,291.427673,305.202026,293.647278,301.483978,291.692169,303.973236,292.929932,303.092804,289.963104
1967-09-15,299.876678,289.836578,301.177399,289.782684,302.310394,289.797180,299.695312,287.588806,299.587280,285.883606
1967-10-15,296.054718,283.969513,293.536926,282.306976,294.092102,283.840698,293.922119,280.751312,292.666931,279.781799
1967-11-15,287.608765,275.412262,287.572968,275.859558,292.445038,281.270172,293.325256,280.283112,288.845398,276.754303
1967-12-15,285.579254,276.303680,282.666351,272.025543,287.688660,276.043823,287.389801,275.477722,284.930298,275.444366
1968-01-15,281.860626,270.471069,280.159851,269.496857,285.822388,275.514313,284.628052,274.086884,282.342468,271.091278
1968-02-15,286.946594,273.791138,288.535492,274.817719,286.021942,273.977112,282.175934,270.493927,287.966370,274.719513
1968-03-15,288.308044,274.696259,292.448700,278.964630,290.331512,277.498047,288.944550,276.561188,288.333862,275.036224
1968-04-15,293.868286,279.451050,295.131958,281.470886,296.667938,281.737488,294.226074,279.051147,294.350708,280.434143
1968-05-15,300.532593,288.227509,299.892700,285.522736,298.623718,285.981995,299.855469,285.790344,299.594757,285.503906
1968-06-15,303.667267,291.610229,302.707489,290.225494,305.249603,291.080261,304.861420,290.756134,304.955719,291.107880
1968-07-15,305.894531,293.960876,304.454376,291.862152,307.746490,294.761688,306.425995,293.744537,305.902740,293.800934
1968-08-15,304.630646,292.738892,304.756378,292.932190,302.146484,291.918823,303.738098,292.210266,305.143860,294.409393
1968-09-15,301.696472,288.475311,301.240143,289.552643,302.959351,286.923950,299.120026,286.832336,299.281311,288.577301
1968-10-15,296.090912,283.851501,294.612183,282.429565,299.383453,280.699951,294.406128,282.739166,292.323914,280.746063
1968-11-15,294.228699,281.081848,286.878845,274.088104,293.976868,276.950134,294.755737,282.842163,289.161560,277.955688
1968-12-15,284.740326,274.246246,283.056030,271.522369,286.970459,275.124115,284.149048,273.142273,285.092896,273.562103
1969-01-15,284.746216,272.701752,279.389374,268.256744,282.527161,270.906219,286.581635,274.978271,289.328461,278.325012
1969-02-15,284.122528,273.175964,283.093750,270.853882,287.062531,273.990631,287.911652,275.906433,293.207458,277.733643
1969-03-15,293.068329,279.008575,284.171417,271.442810,292.283203,278.833282,292.411163,279.695129,293.414307,277.444183
1969-04-15,294.743134,281.938385,294.095398,280.504242,295.610565,282.571075,295.663208,281.216827,294.652924,281.109283
1969-05-15,300.630310,287.751923,298.099670,286.675476,297.124908,285.797668,301.791748,288.451569,297.796204,282.460022
1969-06-15,301.584381,291.088348,302.655334,289.779205,301.575409,291.193207,303.388977,291.452362,302.717499,291.683075
1969-07-15,306.594299,294.043793,303.090973,291.328217,304.240387,293.722656,304.913879,292.383911,303.934662,292.516937
1969-08-15,301.824005,292.786438,302.857147,292.267853,301.548737,291.915894,304.459686,293.225555,302.161072,292.358063
