#Variables:
#pr_bcc-csm1-1_historical(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_historical(mm):Monthly Precipitation Amount
#pr_inmcm4_historical(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_historical(mm):Monthly Precipitation Amount
#pr_NorESM1-M_historical(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)
1984-03-15,116.514229,108.017525,99.933311,90.109512,104.253304
1984-04-15,28.576996,151.816452,99.556358,39.791080,83.850677
1984-05-15,239.592422,117.822311,92.341057,94.772163,85.653542
1984-06-15,93.957123,90.861160,115.565147,63.052486,26.847410
1984-07-15,97.230385,98.152626,108.084488,120.283768,255.107193
1984-08-15,71.969574,43.905148,108.276337,207.096085,188.136444
1984-09-15,185.333435,44.226254,39.958450,164.978378,82.773064
1984-10-15,64.902763,71.239677,186.794220,42.569016,49.561996
1984-11-15,79.602798,113.387482,141.803680,131.080933,72.930321
1984-12-15,46.639236,35.305779,136.602448,50.044388,100.990479
1985-01-15,99.113297,88.074142,101.937531,120.280556,86.197433
1985-02-15,129.668167,137.937088,43.565975,152.171677,70.580040
1985-03-15,52.951553,177.205032,172.268646,137.601883,70.325302
1985-04-15,98.851501,130.268188,25.559465,122.417046,107.338387
1985-05-15,9.415845,40.718594,48.572674,184.116608,80.058670
1985-06-15,60.340061,90.394409,308.760498,36.095013,72.280823
1985-07-15,93.325821,100.568474,136.348953,150.887192,51.354916
1985-08-15,57.370960,108.118935,103.682381,131.280457,87.639511
1985-09-15,79.758186,111.041573,20.782278,298.667053,35.824406
1985-10-15,82.006668,132.791412,144.486588,59.849236,35.136765
1985-11-15,71.029839,85.371300,46.491688,146.247482,127.871361
1985-12-15,138.353287,120.266075,154.191162,18.684961,163.849915
1986-01-15,143.465820,86.579323,197.270172,175.813553,21.398033
1986-02-15,48.742672,164.463715,106.062447,136.503677,216.520996
1986-03-15,251.067093,101.182205,215.888779,206.750168,78.827423
1986-04-15,52.068455,182.727371,207.407837,109.255684,66.874321
1986-05-15,71.567940,180.898544,175.631927,196.501755,87.118759
1986-06-15,51.862091,185.283997,93.347237,62.428940,75.974907
1986-07-15,13.551176,59.281769,272.500183,123.694366,147.028870
1986-08-15,106.552063,250.151031,179.058960,18.904715,111.453896
1986-09-15,158.622009,104.694237,73.993080,84.196663,99.692810
1986-10-15,68.814789,42.962601,213.001190,80.689774,50.283661
1986-11-15,119.237709,35.023685,134.218307,149.786407,46.483635
1986-12-15,102.836830,94.230919,129.849808,120.888214,54.076000
1987-01-15,185.086609,118.346352,153.735245,75.412689,26.745951
1987-02-15,39.842228,88.962875,134.285110,58.467148,230.965530
1987-03-15,114.977173,167.241241,258.351959,143.076340,93.615158
1987-04-15,71.089256,52.368477,115.844673,38.977383,59.105587
1987-05-15,110.666138,79.520294,99.033051,151.141617,146.038208
1987-06-15,7.685771,132.851242,36.562893,222.848434,91.674736
1987-07-15,83.653412,119.570259,8.577498,39.749767,18.636013
1987-08-15,37.741199,137.584320,25.910772,102.248703,149.155151
1987-09-15,47.611774,228.867432,13.678751,131.715027,122.505432
1987-10-15,0.000000,19.661184,73.626213,137.210342,18.926500
1987-11-15,96.804718,185.430603,52.605358,96.894470,132.257996
1987-12-15,144.400177,256.206238,108.226448,147.234650,82.663994
1988-01-15,99.758255,212.956146,57.822041,179.415482,91.679817
1988-02-15,63.356380,130.346024,99.460716,136.894547,161.165634
1988-03-15,80.426468,67.680267,105.387405,129.309631,188.105759
1988-04-15,54.730125,200.524796,130.463058,100.329071,163.034531
1988-05-15,105.304222,52.723358,134.412827,91.121712,55.432560
1988-06-15,94.012901,86.346649,74.227066,40.475704,66.282700
1988-07-15,180.975037,49.993786,67.741150,18.257902,156.967621
1988-08-15,177.648285,106.189766,71.465233,85.996590,38.000896
1988-09-15,220.550400,111.180351,202.480911,123.413055,178.449265
1988-10-15,169.696579,91.072052,66.662895,109.230049,113.882683
1988-11-15,148.452667,123.682739,183.000153,67.061928,41.080799
1988-12-15,36.187344,164.708496,89.513977,40.349037,82.692963
1989-01-15,122.387672,104.087509,80.886627,154.485489,145.566223
1989-02-15,82.278046,123.359741,34.167923,158.513168,176.959274
