,"(deg C) Mean Temperature (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1997-06-01",21.317
"1997-07-01",25.689
"1997-08-01",23.755
"1997-09-01",21.692
"1997-10-01",15.999
"1997-11-01",7.878
"1997-12-01",5.881
"1998-01-01",7.004
"1998-02-01",7.726
"1998-03-01",9.57
"1998-04-01",14.616
"1998-05-01",21.552
"1998-06-01",25.197
"1998-07-01",26.825
"1998-08-01",25.184
"1998-09-01",23.603
"1998-10-01",17.857
"1998-11-01",12.68
"1998-12-01",9.368
"1999-01-01",7.162
"1999-02-01",8.025
"1999-03-01",9.006
"1999-04-01",16.929
"1999-05-01",19.021
"1999-06-01",23.152
"1999-07-01",25.859
"1999-08-01",26.526
"1999-09-01",21.365
"1999-10-01",15.754
"1999-11-01",12.962
"1999-12-01",6.706
"2000-01-01",5.008
"2000-02-01",8.095
"2000-03-01",12.556
"2000-04-01",13.864
"2000-05-01",21.197
"2000-06-01",23.989
"2000-07-01",25.833
"2000-08-01",24.912
"2000-09-01",20.801
"2000-10-01",16.607
"2000-11-01",9.59
"2000-12-01",1.679
"2001-01-01",3.81
"2001-02-01",8.71
"2001-03-01",8.988
"2001-04-01",16.357
"2001-05-01",19.665
"2001-06-01",22.833
"2001-07-01",24.895
"2001-08-01",25.094
"2001-09-01",20.559
"2001-10-01",14.442
"2001-11-01",13.912
"2001-12-01",9.271
"2002-01-01",5.997
"2002-02-01",6.868
"2002-03-01",10.585
"2002-04-01",17.593
"2002-05-01",18.633
"2002-06-01",23.9
"2002-07-01",26.37
"2002-08-01",25.987
"2002-09-01",22.952
"2002-10-01",17.409
"2002-11-01",8.867
"2002-12-01",5.434
"2003-01-01",2.963
"2003-02-01",5.891
"2003-03-01",12.228
"2003-04-01",14.873
"2003-05-01",19.34
"2003-06-01",22.764
"2003-07-01",24.704
"2003-08-01",25.307
"2003-09-01",21.157
"2003-10-01",15.624
"2003-11-01",13.279
"2003-12-01",4.501
"2004-01-01",4.408
"2004-02-01",4.684
"2004-03-01",12.691
"2004-04-01",14.972
"2004-05-01",21.336
"2004-06-01",23.81
"2004-07-01",25.202
"2004-08-01",23.844
"2004-09-01",21.27
"2004-10-01",17.673
"2004-11-01",12.2
"2004-12-01",5.566
"2005-01-01",7.129
"2005-02-01",7.558
"2005-03-01",9.236
"2005-04-01",14.661
"2005-05-01",17.974
"2005-06-01",22.987
"2005-07-01",25.677
"2005-08-01",25.657
"2005-09-01",23.38
"2005-10-01",17.11
"2005-11-01",11.426
"2005-12-01",4.451
